Accomack County, Franklin D Roosevelt, Democrat, 81.74
Albemarle County, Franklin D Roosevelt, Democrat, 78.24
Alleghany County, Franklin D Roosevelt, Democrat, 53.5
Amelia County, Franklin D Roosevelt, Democrat, 82.08
Amherst County, Franklin D Roosevelt, Democrat, 89.09
Appomattox County, Franklin D Roosevelt, Democrat, 83.99
Arlington County, Franklin D Roosevelt, Democrat, 52.69
Augusta County, Franklin D Roosevelt, Democrat, 61.51
Bath County, Franklin D Roosevelt, Democrat, 59.88
Bedford County, Franklin D Roosevelt, Democrat, 81.99
Bland County, Franklin D Roosevelt, Democrat, 57.74
Botetourt County, Franklin D Roosevelt, Democrat, 59.12
Brunswick County, Franklin D Roosevelt, Democrat, 95.58
Buchanan County, Franklin D Roosevelt, Democrat, 65.24
Buckingham County, Franklin D Roosevelt, Democrat, 79.82
Campbell County, Franklin D Roosevelt, Democrat, 83.72
Caroline County, Franklin D Roosevelt, Democrat, 78.89
Carroll County, Franklin D Roosevelt, Democrat, 50.79
Charles City County, Franklin D Roosevelt, Democrat, 73.13
Charlotte County, Franklin D Roosevelt, Democrat, 88.02
Chesterfield County, Franklin D Roosevelt, Democrat, 69.9
Clarke County, Franklin D Roosevelt, Democrat, 86.43
Craig County, Franklin D Roosevelt, Democrat, 67.18
Culpeper County, Franklin D Roosevelt, Democrat, 75.7
Cumberland County, Franklin D Roosevelt, Democrat, 84.05
Dickenson County, Franklin D Roosevelt, Democrat, 67.95
Dinwiddie County, Franklin D Roosevelt, Democrat, 90.18
Elizabeth City County, Franklin D Roosevelt, Democrat, 62.58
Essex County, Franklin D Roosevelt, Democrat, 80.15
Fairfax County, Franklin D Roosevelt, Democrat, 65.33
Fauquier County, Franklin D Roosevelt, Democrat, 83.43
Floyd County, Other, Independent/Third Party, 59.99
Fluvanna County, Franklin D Roosevelt, Democrat, 75.39
Franklin County, Franklin D Roosevelt, Democrat, 72.96
Frederick County, Franklin D Roosevelt, Democrat, 76.19
Giles County, Franklin D Roosevelt, Democrat, 62.6
Gloucester County, Franklin D Roosevelt, Democrat, 75.64
Goochland County, Franklin D Roosevelt, Democrat, 77.65
Grayson County, Franklin D Roosevelt, Democrat, 58.26
Greene County, Franklin D Roosevelt, Democrat, 60.43
Greensville County, Franklin D Roosevelt, Democrat, 85.33
Halifax County, Franklin D Roosevelt, Democrat, 91.85
Hanover County, Franklin D Roosevelt, Democrat, 80.56
Henrico County, Franklin D Roosevelt, Democrat, 63.43
Henry County, Franklin D Roosevelt, Democrat, 76.25
Highland County, Franklin D Roosevelt, Democrat, 55.37
Isle of Wight County, Franklin D Roosevelt, Democrat, 77.02
James City County, Franklin D Roosevelt, Democrat, 71.06
King and Queen County, Franklin D Roosevelt, Democrat, 68.79
King George County, Franklin D Roosevelt, Democrat, 69.65
King William County, Franklin D Roosevelt, Democrat, 76.12
Lancaster County, Franklin D Roosevelt, Democrat, 68.93
Lee County, Franklin D Roosevelt, Democrat, 58.84
Loudoun County, Franklin D Roosevelt, Democrat, 79.45
Louisa County, Franklin D Roosevelt, Democrat, 68.62
Lunenburg County, Franklin D Roosevelt, Democrat, 91.5
Madison County, Franklin D Roosevelt, Democrat, 61.52
Mathews County, Franklin D Roosevelt, Democrat, 56.5
Mecklenburg County, Franklin D Roosevelt, Democrat, 88.3
Middlesex County, Franklin D Roosevelt, Democrat, 80.19
Montgomery County, Franklin D Roosevelt, Democrat, 53.01
Nansemond County, Franklin D Roosevelt, Democrat, 86.22
Nelson County, Franklin D Roosevelt, Democrat, 85.61
New Kent County, Franklin D Roosevelt, Democrat, 70.44
Norfolk County, Franklin D Roosevelt, Democrat, 72.09
Northampton County, Franklin D Roosevelt, Democrat, 80.15
Northumberland County, Franklin D Roosevelt, Democrat, 71.27
Nottoway County, Franklin D Roosevelt, Democrat, 80.67
Orange County, Franklin D Roosevelt, Democrat, 79.96
Page County, Franklin D Roosevelt, Democrat, 58.61
Patrick County, Franklin D Roosevelt, Democrat, 72.42
Pittsylvania County, Franklin D Roosevelt, Democrat, 81.35
Powhatan County, Franklin D Roosevelt, Democrat, 78.02
Prince Edward County, Franklin D Roosevelt, Democrat, 81.04
Prince George County, Franklin D Roosevelt, Democrat, 83.03
Prince William County, Franklin D Roosevelt, Democrat, 78.61
Princess Anne County, Franklin D Roosevelt, Democrat, 76.29
Pulaski County, Franklin D Roosevelt, Democrat, 66.99
Rappahannock County, Franklin D Roosevelt, Democrat, 81.94
Richmond County, Franklin D Roosevelt, Democrat, 69.95
Roanoke County, Franklin D Roosevelt, Democrat, 58.79
Rockbridge County, Franklin D Roosevelt, Democrat, 67.35
Rockingham County, Franklin D Roosevelt, Democrat, 53.85
Russell County, Franklin D Roosevelt, Democrat, 70.09
Scott County, Franklin D Roosevelt, Democrat, 55.64
Shenandoah County, Franklin D Roosevelt, Democrat, 50.51
Smyth County, Franklin D Roosevelt, Democrat, 54.5
Southampton County, Franklin D Roosevelt, Democrat, 87.15
Spotsylvania County, Franklin D Roosevelt, Democrat, 68.35
Stafford County, Franklin D Roosevelt, Democrat, 61.38
Surry County, Franklin D Roosevelt, Democrat, 88.72
Sussex County, Franklin D Roosevelt, Democrat, 83.39
Tazewell County, Franklin D Roosevelt, Democrat, 56.97
Warren County, Franklin D Roosevelt, Democrat, 74.46
Warwick County, Franklin D Roosevelt, Democrat, 71.67
Washington County, Franklin D Roosevelt, Democrat, 60.17
Westmoreland County, Franklin D Roosevelt, Democrat, 74.8
Wise County, Franklin D Roosevelt, Democrat, 68.13
Wythe County, Franklin D Roosevelt, Democrat, 53.56
York County, Franklin D Roosevelt, Democrat, 56.84
Alexandria City, Franklin D Roosevelt, Democrat, 70.29
Bristol City, Franklin D Roosevelt, Democrat, 79.09
Buena Vista City, Franklin D Roosevelt, Democrat, 58.9
Charlottesville City, Franklin D Roosevelt, Democrat, 75.53
Clifton Forge City, Franklin D Roosevelt, Democrat, 72.15
Danville City, Franklin D Roosevelt, Democrat, 73.41
Fredericksburg City, Franklin D Roosevelt, Democrat, 68.18
Hampton City, Franklin D Roosevelt, Democrat, 71.22
Harrisonburg City, Franklin D Roosevelt, Democrat, 58.81
Hopewell City, Franklin D Roosevelt, Democrat, 72.5
Lynchburg City, Franklin D Roosevelt, Democrat, 74.07
Martinsville City, Franklin D Roosevelt, Democrat, 77.14
Newport News City, Franklin D Roosevelt, Democrat, 62.8
Norfolk City, Franklin D Roosevelt, Democrat, 65.45
Petersburg City, Franklin D Roosevelt, Democrat, 78.69
Portsmouth City, Franklin D Roosevelt, Democrat, 63.17
Radford City, Franklin D Roosevelt, Democrat, 59.63
Richmond City, Franklin D Roosevelt, Democrat, 70.75
Roanoke City, Franklin D Roosevelt, Democrat, 65.15
South Norfolk City, Franklin D Roosevelt, Democrat, 63.17
Staunton City, Franklin D Roosevelt, Democrat, 63.54
Suffolk City, Franklin D Roosevelt, Democrat, 78.71
Williamsburg City, Franklin D Roosevelt, Democrat, 76.63
Winchester City, Franklin D Roosevelt, Democrat, 61.73
