#, Franklin D Roosevelt, Democrat, 0
Barnstable, Alf Landon, Republican, 11337
Berkshire, Franklin D Roosevelt, Democrat, 29087
Bristol, Franklin D Roosevelt, Democrat, 80805
Dukes, Alf Landon, Republican, 1655
Essex, Franklin D Roosevelt, Democrat, 106078
Franklin, Alf Landon, Republican, 13756
Hampden, Franklin D Roosevelt, Democrat, 80164
Hampshire, Franklin D Roosevelt, Democrat, 15412
Middlesex, Alf Landon, Republican, 199704
Nantucket, Alf Landon, Republican, 969
Norfolk, Alf Landon, Republican, 82545
Plymouth, Alf Landon, Republican, 41942
Suffolk, Franklin D Roosevelt, Democrat, 223732
Worcester, Franklin D Roosevelt, Democrat, 114136
