Mono, Adlai Stevenson, Democrat, 73.79
Orange, Adlai Stevenson, Democrat, 66.82
Inyo, Adlai Stevenson, Democrat, 66.19
Marin, Adlai Stevenson, Democrat, 65.94
Lake, Adlai Stevenson, Democrat, 64.84
Santa Barbara, Adlai Stevenson, Democrat, 64.55
San Diego, Adlai Stevenson, Democrat, 64.47
Santa Cruz, Adlai Stevenson, Democrat, 63.58
Sutter, Adlai Stevenson, Democrat, 62.79
Riverside, Adlai Stevenson, Democrat, 62.16
Sonoma, Adlai Stevenson, Democrat, 61.92
San Mateo, Adlai Stevenson, Democrat, 61.04
Mariposa, Adlai Stevenson, Democrat, 60.31
Nevada, Adlai Stevenson, Democrat, 59.69
Monterey, Adlai Stevenson, Democrat, 59.54
San Benito, Adlai Stevenson, Democrat, 59.53
Santa Clara, Adlai Stevenson, Democrat, 59.09
San Luis Obispo, Adlai Stevenson, Democrat, 58.47
Butte, Adlai Stevenson, Democrat, 58.43
Calaveras, Adlai Stevenson, Democrat, 57.91
Mendocino, Adlai Stevenson, Democrat, 56.94
San Bernardino, Adlai Stevenson, Democrat, 56.88
Imperial, Adlai Stevenson, Democrat, 56.05
Napa, Adlai Stevenson, Democrat, 55.93
Yuba, Adlai Stevenson, Democrat, 55.76
Los Angeles, Adlai Stevenson, Democrat, 55.38
San Joaquin, Adlai Stevenson, Democrat, 54.52
Tehama, Adlai Stevenson, Democrat, 53.82
El Dorado, Adlai Stevenson, Democrat, 53.6
Colusa, Adlai Stevenson, Democrat, 53.23
Modoc, Adlai Stevenson, Democrat, 53.21
Del Norte, Adlai Stevenson, Democrat, 53.18
Humboldt, Adlai Stevenson, Democrat, 52.57
Tulare, Adlai Stevenson, Democrat, 52.5
Alameda, Adlai Stevenson, Democrat, 52.4
Tuolumne, Adlai Stevenson, Democrat, 52.12
Glenn, Adlai Stevenson, Democrat, 51.96
San Francisco, Adlai Stevenson, Democrat, 51.53
Kern, Adlai Stevenson, Democrat, 51.31
Contra Costa, Adlai Stevenson, Democrat, 50.98
Sierra, Adlai Stevenson, Democrat, 50.55
Trinity, Adlai Stevenson, Democrat, 50.42
Ventura, Adlai Stevenson, Democrat, 49.92
Siskiyou, Adlai Stevenson, Democrat, 49.79
Amador, Dwight D Eisenhower, Republican, 50.43
Stanislaus, Dwight D Eisenhower, Republican, 51.05
Yolo, Dwight D Eisenhower, Republican, 51.72
Merced, Dwight D Eisenhower, Republican, 53.78
Placer, Dwight D Eisenhower, Republican, 53.76
Sacramento, Dwight D Eisenhower, Republican, 54.73
Shasta, Dwight D Eisenhower, Republican, 55.78
Fresno, Dwight D Eisenhower, Republican, 56.44
Lassen, Dwight D Eisenhower, Republican, 57.22
Kings, Dwight D Eisenhower, Republican, 57.45
Madera, Dwight D Eisenhower, Republican, 57.58
Plumas, Dwight D Eisenhower, Republican, 57.75
Solano, Dwight D Eisenhower, Republican, 58.1
