Adams, Richard M Nixon, Republican, 51.54
Allen, George C Wallace, Dixiecrat, NaN
Ashland, George C Wallace, Dixiecrat, NaN
Ashtabula, Richard M Nixon, Republican, 46.66
Athens, Richard M Nixon, Republican, 47.79
Auglaize, Richard M Nixon, Republican, 56.96
Belmont, George C Wallace, Dixiecrat, NaN
Brown, George C Wallace, Dixiecrat, NaN
Butler, Richard M Nixon, Republican, 48.73
Carroll, Richard M Nixon, Republican, 52.39
Champaign, Richard M Nixon, Republican, 53.83
Clark, Hubert H Humphrey, Democrat, 44.1
Clermont, Richard M Nixon, Republican, 48.04
Clinton, George C Wallace, Dixiecrat, NaN
Columbiana, Richard M Nixon, Republican, 46.21
Coshocton, George C Wallace, Dixiecrat, NaN
Crawford, George C Wallace, Dixiecrat, NaN
Cuyahoga, Hubert H Humphrey, Democrat, 53.95
Darke, Richard M Nixon, Republican, 53.78
Defiance, George C Wallace, Dixiecrat, NaN
Delaware, Richard M Nixon, Republican, 57.72
Erie, Richard M Nixon, Republican, 48.5
Fairfield, George C Wallace, Dixiecrat, NaN
Fayette, Richard M Nixon, Republican, 51.99
Franklin, Richard M Nixon, Republican, 51.78
Fulton, George C Wallace, Dixiecrat, NaN
Gallia, Richard M Nixon, Republican, 58.1
Geauga, George C Wallace, Dixiecrat, NaN
Greene, Richard M Nixon, Republican, 45.36
Guernsey, Richard M Nixon, Republican, 49.44
Hamilton, Richard M Nixon, Republican, 50.24
Hancock, George C Wallace, Dixiecrat, NaN
Hardin, George C Wallace, Dixiecrat, NaN
Harrison, George C Wallace, Dixiecrat, NaN
Henry, Richard M Nixon, Republican, 63.21
Highland, George C Wallace, Dixiecrat, NaN
Hocking, George C Wallace, Dixiecrat, NaN
Holmes, Richard M Nixon, Republican, 58.47
Huron, Richard M Nixon, Republican, 53.38
Jackson, George C Wallace, Dixiecrat, NaN
Jefferson, Hubert H Humphrey, Democrat, 56.76
Knox, George C Wallace, Dixiecrat, NaN
Lake, Richard M Nixon, Republican, 43.4
Lawrence, George C Wallace, Dixiecrat, NaN
Licking, Richard M Nixon, Republican, 48.89
Logan, Richard M Nixon, Republican, 56.12
Lorain, Hubert H Humphrey, Democrat, 49.74
Lucas, Hubert H Humphrey, Democrat, 51.31
Madison, George C Wallace, Dixiecrat, NaN
Mahoning, Hubert H Humphrey, Democrat, 55.38
Marion, Richard M Nixon, Republican, 53.1
Medina, Richard M Nixon, Republican, 52.31
Meigs, Richard M Nixon, Republican, 56.29
Mercer, George C Wallace, Dixiecrat, NaN
Miami, Richard M Nixon, Republican, 50.62
Monroe, Hubert H Humphrey, Democrat, 48.87
Montgomery, Hubert H Humphrey, Democrat, 46.39
Morgan, George C Wallace, Dixiecrat, NaN
Morrow, George C Wallace, Dixiecrat, NaN
Muskingum, George C Wallace, Dixiecrat, NaN
Noble, George C Wallace, Dixiecrat, NaN
Ottawa, George C Wallace, Dixiecrat, NaN
Paulding, George C Wallace, Dixiecrat, NaN
Perry, George C Wallace, Dixiecrat, NaN
Pickaway, Richard M Nixon, Republican, 53.25
Pike, George C Wallace, Dixiecrat, NaN
Portage, George C Wallace, Dixiecrat, NaN
Preble, George C Wallace, Dixiecrat, NaN
Putnam, George C Wallace, Dixiecrat, NaN
Richland, Richard M Nixon, Republican, 53.63
Ross, Richard M Nixon, Republican, 50.72
Sandusky, Richard M Nixon, Republican, 53.1
Scioto, George C Wallace, Dixiecrat, NaN
Seneca, George C Wallace, Dixiecrat, NaN
Shelby, George C Wallace, Dixiecrat, NaN
Stark, Richard M Nixon, Republican, 47.88
Summit, Hubert H Humphrey, Democrat, 47.89
Trumbull, Hubert H Humphrey, Democrat, 48.77
Tuscarawas, Hubert H Humphrey, Democrat, 48.11
Union, George C Wallace, Dixiecrat, NaN
Van Wert, George C Wallace, Dixiecrat, NaN
Vinton, Richard M Nixon, Republican, 52.31
Warren, George C Wallace, Dixiecrat, NaN
Washington, Richard M Nixon, Republican, 58.25
Wayne, Richard M Nixon, Republican, 58.34
Williams, George C Wallace, Dixiecrat, NaN
Wood, Richard M Nixon, Republican, 53.81
Wyandot, George C Wallace, Dixiecrat, NaN
