Alcona, Richard M Nixon, Republican, 65.91
Alpena, Richard M Nixon, Republican, 54.67
Arenac, Richard M Nixon, Republican, 57.43
Bay, Richard M Nixon, Republican, 50.08
Branch, Richard M Nixon, Republican, 62.01
Calhoun, Richard M Nixon, Republican, 58.27
Charlevoix, Richard M Nixon, Republican, 59.04
Clinton, Richard M Nixon, Republican, 68.38
Crawford, Richard M Nixon, Republican, 61.98
Ingham, Richard M Nixon, Republican, 53.6
Ionia, Richard M Nixon, Republican, 62.57
Iosco, Richard M Nixon, Republican, 64.1
Jackson, Richard M Nixon, Republican, 62.33
Kalamazoo, Richard M Nixon, Republican, 58.77
Kalkaska, Richard M Nixon, Republican, 64.39
Keweenaw, Richard M Nixon, Republican, 60.49
Lake, George McGovern, Democrat, 49.44
Leelanau, Richard M Nixon, Republican, 65.82
Livingston, Richard M Nixon, Republican, 66.85
Luce, Richard M Nixon, Republican, 63.49
Manistee, Richard M Nixon, Republican, 57.2
Mecosta, Richard M Nixon, Republican, 64.29
Missaukee, Richard M Nixon, Republican, 71.79
Monroe, Richard M Nixon, Republican, 54.76
Montcalm, Richard M Nixon, Republican, 61.97
Montmorency, Richard M Nixon, Republican, 64.49
Newaygo, Richard M Nixon, Republican, 65.62
Oceana, Richard M Nixon, Republican, 64.2
Oscoda, Richard M Nixon, Republican, 67.61
Presque Isle, Richard M Nixon, Republican, 56.23
Schoolcraft, Richard M Nixon, Republican, 56.01
Van Buren, Richard M Nixon, Republican, 64.57
Washtenaw, George McGovern, Democrat, 51.45
Wayne, George McGovern, Democrat, 53.26
Wexford, Richard M Nixon, Republican, 61.43
