Accomack County, Jimmy Carter, Democrat, 50.41
Albemarle County, Gerald Ford, Republican, 54.62
Alleghany County, Jimmy Carter, Democrat, 57.73
Amelia County, Jimmy Carter, Democrat, 49.6
Amherst County, Gerald Ford, Republican, 50.87
Appomattox County, Gerald Ford, Republican, 50.84
Arlington County, Jimmy Carter, Democrat, 50.37
Augusta County, Gerald Ford, Republican, 57.53
Bath County, Jimmy Carter, Democrat, 53.26
Bedford County, Jimmy Carter, Democrat, 51.55
Bland County, Gerald Ford, Republican, 51.91
Botetourt County, Jimmy Carter, Democrat, 53.1
Brunswick County, Jimmy Carter, Democrat, 54.18
Buchanan County, Jimmy Carter, Democrat, 53.98
Buckingham County, Jimmy Carter, Democrat, 57.98
Campbell County, Gerald Ford, Republican, 60.78
Caroline County, Jimmy Carter, Democrat, 63.89
Carroll County, Gerald Ford, Republican, 53.75
Charles City County, Jimmy Carter, Democrat, 74.58
Charlotte County, Jimmy Carter, Democrat, 52.62
Chesterfield County, Gerald Ford, Republican, 65.54
Clarke County, Gerald Ford, Republican, 51.54
Craig County, Jimmy Carter, Democrat, 66.17
Culpeper County, Gerald Ford, Republican, 54.64
Cumberland County, Jimmy Carter, Democrat, 47.23
Dickenson County, Jimmy Carter, Democrat, 55.83
Dinwiddie County, Jimmy Carter, Democrat, 59.83
Essex County, Gerald Ford, Republican, 50.55
Fairfax County, Gerald Ford, Republican, 53.62
Fauquier County, Gerald Ford, Republican, 51.75
Floyd County, Gerald Ford, Republican, 52.76
Fluvanna County, Jimmy Carter, Democrat, 51.08
Franklin County, Jimmy Carter, Democrat, 63.13
Frederick County, Gerald Ford, Republican, 59.52
Giles County, Jimmy Carter, Democrat, 56.08
Gloucester County, Jimmy Carter, Democrat, 49.28
Goochland County, Jimmy Carter, Democrat, 50.71
Grayson County, Jimmy Carter, Democrat, 50.33
Greene County, Gerald Ford, Republican, 51.41
Greensville County, Jimmy Carter, Democrat, 66.18
Halifax County, Jimmy Carter, Democrat, 50.04
Hanover County, Gerald Ford, Republican, 64.72
Henrico County, Gerald Ford, Republican, 65.82
Henry County, Jimmy Carter, Democrat, 60.41
Highland County, Gerald Ford, Republican, 55.57
Isle of Wight County, Jimmy Carter, Democrat, 59.14
James City County, Gerald Ford, Republican, 49.36
King and Queen County, Jimmy Carter, Democrat, 55.77
King George County, Jimmy Carter, Democrat, 51.15
King William County, Gerald Ford, Republican, 50.6
Lancaster County, Gerald Ford, Republican, 58.44
Lee County, Jimmy Carter, Democrat, 52.65
Loudoun County, Gerald Ford, Republican, 51.79
Louisa County, Jimmy Carter, Democrat, 55.64
Lunenburg County, Gerald Ford, Republican, 49.73
Madison County, Gerald Ford, Republican, 52.97
Mathews County, Gerald Ford, Republican, 57.77
Mecklenburg County, Gerald Ford, Republican, 50.44
Middlesex County, Gerald Ford, Republican, 52.91
Montgomery County, Gerald Ford, Republican, 50.64
Nelson County, Jimmy Carter, Democrat, 60.24
New Kent County, Jimmy Carter, Democrat, 50.61
Northampton County, Jimmy Carter, Democrat, 51.93
Northumberland County, Gerald Ford, Republican, 52.52
Nottoway County, Jimmy Carter, Democrat, 48.99
Orange County, Gerald Ford, Republican, 49.39
Page County, Gerald Ford, Republican, 51.52
Patrick County, Jimmy Carter, Democrat, 50.96
Pittsylvania County, Gerald Ford, Republican, 51.21
Powhatan County, Gerald Ford, Republican, 55.28
Prince Edward County, Gerald Ford, Republican, 50.36
Prince George County, Jimmy Carter, Democrat, 53.02
Prince William County, Gerald Ford, Republican, 49
Pulaski County, Jimmy Carter, Democrat, 52.2
Rappahannock County, Jimmy Carter, Democrat, 54.06
Richmond County, Gerald Ford, Republican, 60.8
Roanoke County, Gerald Ford, Republican, 50.42
Rockbridge County, Jimmy Carter, Democrat, 51.11
Rockingham County, Gerald Ford, Republican, 61.87
Russell County, Jimmy Carter, Democrat, 56.38
Scott County, Jimmy Carter, Democrat, 47.36
Shenandoah County, Gerald Ford, Republican, 64.05
Smyth County, Jimmy Carter, Democrat, 49.3
Southampton County, Jimmy Carter, Democrat, 57.72
Spotsylvania County, Jimmy Carter, Democrat, 55.69
Stafford County, Jimmy Carter, Democrat, 51.57
Surry County, Jimmy Carter, Democrat, 64.56
Sussex County, Jimmy Carter, Democrat, 60.99
Tazewell County, Jimmy Carter, Democrat, 56.29
Warren County, Jimmy Carter, Democrat, 49.42
Washington County, Gerald Ford, Republican, 48.98
Westmoreland County, Jimmy Carter, Democrat, 51.55
Wise County, Jimmy Carter, Democrat, 53.43
Wythe County, Gerald Ford, Republican, 51.34
York County, Gerald Ford, Republican, 53.61
Alexandria City, Jimmy Carter, Democrat, 52.38
Bedford City, Jimmy Carter, Democrat, 48.91
Bristol City, Jimmy Carter, Democrat, 52.55
Buena Vista City, Jimmy Carter, Democrat, 53.59
Charlottesville City, Jimmy Carter, Democrat, 49.36
Chesapeake City, Jimmy Carter, Democrat, 54.89
Clifton Forge City, Jimmy Carter, Democrat, 52.46
Colonial Heights City, Gerald Ford, Republican, 61.88
Covington City, Jimmy Carter, Democrat, 57.5
Danville City, Gerald Ford, Republican, 59.46
Emporia City, Gerald Ford, Republican, 52.23
Fairfax City, Gerald Ford, Republican, 53.36
Falls Church City, Gerald Ford, Republican, 50.63
Franklin City, Gerald Ford, Republican, 49.21
Fredericksburg City, Jimmy Carter, Democrat, 49.51
Galax City, Jimmy Carter, Democrat, 51.39
Hampton City, Jimmy Carter, Democrat, 53.27
Harrisonburg City, Gerald Ford, Republican, 63.01
Hopewell City, Gerald Ford, Republican, 48.21
Lexington City, Gerald Ford, Republican, 50.47
Lynchburg City, Gerald Ford, Republican, 61.18
Manassas City, Gerald Ford, Republican, 53.3
Manassas Park City, Jimmy Carter, Democrat, 59.63
Martinsville City, Jimmy Carter, Democrat, 50.34
Newport News City, Jimmy Carter, Democrat, 51.83
Norfolk City, Jimmy Carter, Democrat, 55.82
Norton City, Jimmy Carter, Democrat, 56.71
Petersburg City, Jimmy Carter, Democrat, 60.02
Poquoson City, Gerald Ford, Republican, 55.34
Portsmouth City, Jimmy Carter, Democrat, 63.01
Radford City, Jimmy Carter, Democrat, 54.34
Richmond City, Jimmy Carter, Democrat, 53.77
Roanoke City, Jimmy Carter, Democrat, 57.57
Salem City, Jimmy Carter, Democrat, 50.68
South Boston City, Gerald Ford, Republican, 56.97
Staunton City, Gerald Ford, Republican, 59.53
Suffolk City, Jimmy Carter, Democrat, 59.24
Virginia Beach City, Gerald Ford, Republican, 54.46
Waynesboro City, Gerald Ford, Republican, 59.64
Williamsburg City, Gerald Ford, Republican, 51.77
Winchester City, Gerald Ford, Republican, 62.85
