Adams, John Mccain, Republican, 60.7
Alexander, Barack Obama, Democrat, 55.6
Bond, John Mccain, Republican, 49.81
Boone, Barack Obama, Democrat, 51.15
Brown, John Mccain, Republican, 60.1
Bureau, Barack Obama, Democrat, 51.94
Calhoun, Barack Obama, Democrat, 52.72
Carroll, Barack Obama, Democrat, 51.67
Cass, Barack Obama, Democrat, 49.74
Champaign, Barack Obama, Democrat, 57.76
Christian, John Mccain, Republican, 52.13
Clark, John Mccain, Republican, 53.2
Clay, John Mccain, Republican, 60.83
Clinton, John Mccain, Republican, 54.04
Coles, Barack Obama, Democrat, 50.77
Cook, Barack Obama, Democrat, 76.21
Crawford, John Mccain, Republican, 55.54
Cumberland, John Mccain, Republican, 59.31
Dekalb, Barack Obama, Democrat, 57.53
De Witt, John Mccain, Republican, 55.74
Douglas, John Mccain, Republican, 59.9
Dupage, Barack Obama, Democrat, 54.72
Edgar, John Mccain, Republican, 53.28
Edwards, John Mccain, Republican, 63.79
Effingham, John Mccain, Republican, 67.26
Fayette, John Mccain, Republican, 56.81
Ford, John Mccain, Republican, 63.87
Franklin, John Mccain, Republican, 50.45
Fulton, Barack Obama, Democrat, 59.62
Gallatin, Barack Obama, Democrat, 55.51
Greene, John Mccain, Republican, 52.57
Grundy, Barack Obama, Democrat, 49.9
Hamilton, John Mccain, Republican, 55.18
Hancock, John Mccain, Republican, 54.5
Hardin, John Mccain, Republican, 58.98
Henderson, Barack Obama, Democrat, 58.08
Henry, Barack Obama, Democrat, 53.18
Iroquois, John Mccain, Republican, 63.95
Jackson, Barack Obama, Democrat, 59.72
Jasper, John Mccain, Republican, 57.77
Jefferson, John Mccain, Republican, 54.27
Jersey, John Mccain, Republican, 50.35
Jo Daviess, Barack Obama, Democrat, 54.49
Johnson, John Mccain, Republican, 66.29
Kane, Barack Obama, Democrat, 55.23
Kankakee, Barack Obama, Democrat, 51.55
Kendall, Barack Obama, Democrat, 53.06
Knox, Barack Obama, Democrat, 59.16
Lake, Barack Obama, Democrat, 59.26
Lasalle, Barack Obama, Democrat, 54.68
Lawrence, John Mccain, Republican, 52.07
Lee, John Mccain, Republican, 50.61
Livingston, John Mccain, Republican, 58.82
Logan, John Mccain, Republican, 57.61
Mcdonough, Barack Obama, Democrat, 52.01
Mchenry, Barack Obama, Democrat, 51.91
Mclean, Barack Obama, Democrat, 49.75
Macon, Barack Obama, Democrat, 49.76
Macoupin, Barack Obama, Democrat, 54.04
Madison, Barack Obama, Democrat, 53.75
Marion, John Mccain, Republican, 50.05
Marshall, John Mccain, Republican, 49.66
Mason, Barack Obama, Democrat, 52.03
Massac, John Mccain, Republican, 60.83
Menard, John Mccain, Republican, 56.81
Mercer, Barack Obama, Democrat, 55.23
Monroe, John Mccain, Republican, 54.64
Montgomery, Barack Obama, Democrat, 50.43
Morgan, John Mccain, Republican, 49.44
Moultrie, John Mccain, Republican, 55.45
Ogle, John Mccain, Republican, 52.89
Peoria, Barack Obama, Democrat, 56.19
Perry, John Mccain, Republican, 50.89
Piatt, John Mccain, Republican, 55.46
Pike, John Mccain, Republican, 58.52
Pope, John Mccain, Republican, 60.2
Pulaski, Barack Obama, Democrat, 50.09
Putnam, Barack Obama, Democrat, 56.94
Randolph, John Mccain, Republican, 49.59
Richland, John Mccain, Republican, 56.59
Rock Island, Barack Obama, Democrat, 61.71
St. Clair, Barack Obama, Democrat, 60.57
Saline, John Mccain, Republican, 53.37
Sangamon, Barack Obama, Democrat, 51.39
Schuyler, Barack Obama, Democrat, 49.7
Scott, John Mccain, Republican, 55.96
Shelby, John Mccain, Republican, 58.85
Stark, John Mccain, Republican, 52.05
Stephenson, Barack Obama, Democrat, 52.53
Tazewell, John Mccain, Republican, 52.07
Union, John Mccain, Republican, 54.88
Vermilion, Barack Obama, Democrat, 49.42
Wabash, John Mccain, Republican, 56.28
Warren, Barack Obama, Democrat, 53.38
Washington, John Mccain, Republican, 56.39
Wayne, John Mccain, Republican, 66.78
White, John Mccain, Republican, 53.5
Whiteside, Barack Obama, Democrat, 58.01
Will, Barack Obama, Democrat, 56
Williamson, John Mccain, Republican, 56.41
Winnebago, Barack Obama, Democrat, 55.57
Woodford, John Mccain, Republican, 62.57
