Acadia, John Mccain, Republican, 71.99
Allen, John Mccain, Republican, 66.9
Ascension, John Mccain, Republican, 67.08
Assumption, John Mccain, Republican, 54.57
Avoyelles, John Mccain, Republican, 60.43
Beauregard, John Mccain, Republican, 76.15
Bienville, John Mccain, Republican, 50.82
Bossier, John Mccain, Republican, 71.37
Caddo, Barack Obama, Democrat, 51.03
Calcasieu, John Mccain, Republican, 61.43
Caldwell, John Mccain, Republican, 75.54
Cameron, John Mccain, Republican, 81.35
Catahoula, John Mccain, Republican, 66.72
Claiborne, John Mccain, Republican, 54.82
Concordia, John Mccain, Republican, 59.49
De Soto, John Mccain, Republican, 56.16
East Baton Rouge, Barack Obama, Democrat, 50.5
East Carroll, Barack Obama, Democrat, 63.7
East Feliciana, John Mccain, Republican, 54.61
Evangeline, John Mccain, Republican, 61.3
Franklin, John Mccain, Republican, 67.1
Grant, John Mccain, Republican, 80.71
Iberia, John Mccain, Republican, 60.68
Iberville, Barack Obama, Democrat, 54.95
Jackson, John Mccain, Republican, 67.09
Jefferson, John Mccain, Republican, 62.5
Jefferson Davis, John Mccain, Republican, 68.72
Lafayette, John Mccain, Republican, 64.88
Lafourche, John Mccain, Republican, 71.49
La Salle, John Mccain, Republican, 85.49
Lincoln, John Mccain, Republican, 55.75
Livingston, John Mccain, Republican, 85.02
Madison, Barack Obama, Democrat, 58.49
Morehouse, John Mccain, Republican, 54.98
Natchitoches, John Mccain, Republican, 53.05
Orleans, Barack Obama, Democrat, 79.32
Ouachita, John Mccain, Republican, 62.07
Plaquemines, John Mccain, Republican, 65.98
Pointe Coupee, John Mccain, Republican, 53.9
Rapides, John Mccain, Republican, 63.65
Red River, John Mccain, Republican, 53.66
Richland, John Mccain, Republican, 62.64
Sabine, John Mccain, Republican, 74.87
St. Bernard, John Mccain, Republican, 71.21
St. Charles, John Mccain, Republican, 64.8
St. Helena, Barack Obama, Democrat, 57.68
St. James, Barack Obama, Democrat, 55.67
St. John The Baptist, Barack Obama, Democrat, 57.37
St. Landry, John Mccain, Republican, 50.95
St. Martin, John Mccain, Republican, 59.55
St. Mary, John Mccain, Republican, 57.56
St. Tammany, John Mccain, Republican, 75.84
Tangipahoa, John Mccain, Republican, 64.68
Tensas, Barack Obama, Democrat, 54.14
Terrebonne, John Mccain, Republican, 69.32
Union, John Mccain, Republican, 70.1
Vermilion, John Mccain, Republican, 72.76
Vernon, John Mccain, Republican, 75.76
Washington, John Mccain, Republican, 65.59
Webster, John Mccain, Republican, 62.49
West Baton Rouge, John Mccain, Republican, 56.08
West Carroll, John Mccain, Republican, 81.11
West Feliciana, John Mccain, Republican, 56.05
Winn, John Mccain, Republican, 68.4
