District 1, Mitt Romney, Republican, 76.39
District 2, Mitt Romney, Republican, 60.82
District 3, Mitt Romney, Republican, 62.1
District 4, Mitt Romney, Republican, 52.84
District 5, Mitt Romney, Republican, 49.45
District 6, Mitt Romney, Republican, 67.42
District 7, Mitt Romney, Republican, 69.27
District 8, Mitt Romney, Republican, 70.69
District 9, Mitt Romney, Republican, 73.33
District 10, Mitt Romney, Republican, 75.01
District 11, Mitt Romney, Republican, 70.18
District 12, Mitt Romney, Republican, 66.34
District 13, Mitt Romney, Republican, 53.93
District 14, Mitt Romney, Republican, 48.85
District 15, Barack Obama, Democrat, 50.89
District 16, Barack Obama, Democrat, 55.88
District 17, Barack Obama, Democrat, 62.17
District 18, Barack Obama, Democrat, 61.28
District 19, Barack Obama, Democrat, 49.79
District 20, Mitt Romney, Republican, 57.06
District 21, Mitt Romney, Republican, 59.35
District 22, Mitt Romney, Republican, 52.56
District 23, Mitt Romney, Republican, 58.85
District 24, Mitt Romney, Republican, 53.67
District 25, Mitt Romney, Republican, 52.75
District 26, Mitt Romney, Republican, 66.42
District 27, Mitt Romney, Republican, 55.58
District 28, Mitt Romney, Republican, 69.62
District 29, Mitt Romney, Republican, 72.08
District 30, Mitt Romney, Republican, 57.78
District 31, Barack Obama, Democrat, 50.12
District 32, Barack Obama, Democrat, 62.24
District 33, Mitt Romney, Republican, 57.41
District 34, Barack Obama, Democrat, 53.98
District 35, Mitt Romney, Republican, 54.88
District 36, Barack Obama, Democrat, 67.2
District 37, Barack Obama, Democrat, 60.69
District 38, Barack Obama, Democrat, 60.18
District 39, Barack Obama, Democrat, 55.56
District 40, Barack Obama, Democrat, 64.16
District 99, Barack Obama, Democrat, NaN, Mitt Romney, Republican, NaN, Other, Other, NaN
