District 1, Donald J Trump, Republican, 48
District 2, Donald J Trump, Republican, 59.88
District 3, Donald J Trump, Republican, 72.46
District 4, Joseph R Biden Jr, Democrat, 50.85
District 5, Joseph R Biden Jr, Democrat, 48.58
District 6, Donald J Trump, Republican, 60.99
District 7, Donald J Trump, Republican, 73.03
District 8, Donald J Trump, Republican, 76.86
District 9, Donald J Trump, Republican, 70.84
District 10, Donald J Trump, Republican, 72.12
District 11, Donald J Trump, Republican, 66.77
District 12, Donald J Trump, Republican, 70.23
District 13, Donald J Trump, Republican, 60.31
District 14, Donald J Trump, Republican, 58.67
District 15, Donald J Trump, Republican, 48.05
District 16, Joseph R Biden Jr, Democrat, 52.65
District 17, Joseph R Biden Jr, Democrat, 57.13
District 18, Joseph R Biden Jr, Democrat, 60.63
District 19, Joseph R Biden Jr, Democrat, 58.82
District 20, Joseph R Biden Jr, Democrat, 65.11
District 21, Joseph R Biden Jr, Democrat, 57.42
District 22, Donald J Trump, Republican, 49.2
District 23, Joseph R Biden Jr, Democrat, 49.23
District 24, Donald J Trump, Republican, 51.57
District 25, Joseph R Biden Jr, Democrat, 49.33
District 26, Donald J Trump, Republican, 51.85
District 27, Joseph R Biden Jr, Democrat, 50.96
District 28, Joseph R Biden Jr, Democrat, 49.13
District 29, Donald J Trump, Republican, 69.45
District 30, Donald J Trump, Republican, 70.56
District 31, Donald J Trump, Republican, 56.17
District 32, Donald J Trump, Republican, 53.27
District 33, Joseph R Biden Jr, Democrat, 68.78
District 34, Joseph R Biden Jr, Democrat, 53.71
District 35, Joseph R Biden Jr, Democrat, 49.6
District 36, Donald J Trump, Republican, 55.04
District 37, Joseph R Biden Jr, Democrat, 49.79
District 38, Joseph R Biden Jr, Democrat, 60.43
District 39, Joseph R Biden Jr, Democrat, 60.77
District 40, Joseph R Biden Jr, Democrat, 50.36
District 99, Joseph R Biden Jr, Democrat, 86.14
