Ada, Donald J Trump, Republican, 50.39
Bannock, Donald J Trump, Republican, 58.99
Bear Lake, Donald J Trump, Republican, 87.9
Benewah, Donald J Trump, Republican, 77.98
Bingham, Donald J Trump, Republican, 76.49
Blaine, Joseph R Biden Jr, Democrat, 67.12
Boise, Donald J Trump, Republican, 72.3
Bonner, Donald J Trump, Republican, 67.2
Bonneville, Donald J Trump, Republican, 70.02
Boundary, Donald J Trump, Republican, 78.2
Camas, Donald J Trump, Republican, 67.24
Canyon, Donald J Trump, Republican, 68.31
Caribou, Donald J Trump, Republican, 85.07
Cassia, Donald J Trump, Republican, 82.12
Clearwater, Donald J Trump, Republican, 78.14
Gem, Donald J Trump, Republican, 79.85
Gooding, Donald J Trump, Republican, 77.01
Idaho, Donald J Trump, Republican, 81.5
Jerome, Donald J Trump, Republican, 73.4
Kootenai, Donald J Trump, Republican, 70.23
Latah, Joseph R Biden Jr, Democrat, 49.76
Lemhi, Donald J Trump, Republican, 75.81
Lewis, Donald J Trump, Republican, 64.87
Minidoka, Donald J Trump, Republican, 78.38
Nez Perce, Donald J Trump, Republican, 65.52
Oneida, Donald J Trump, Republican, 56.23
Owyhee, Donald J Trump, Republican, 80.54
Payette, Donald J Trump, Republican, 78.47
Power, Donald J Trump, Republican, 68.84
Shoshone, Donald J Trump, Republican, 69.7
Teton, Joseph R Biden Jr, Democrat, 66.6
Twin Falls, Donald J Trump, Republican, 70.95
Valley, Donald J Trump, Republican, 55.88
