Allen, Donald J Trump, Republican, 71.59
Anderson, Donald J Trump, Republican, 77.24
Atchison, Donald J Trump, Republican, 65.94
Barber, Donald J Trump, Republican, 85.99
Barton, Donald J Trump, Republican, 77.34
Bourbon, Donald J Trump, Republican, 75.24
Brown, Donald J Trump, Republican, 72.96
Butler, Donald J Trump, Republican, 69.6
Chase, Donald J Trump, Republican, 75.32
Chautauqua, Donald J Trump, Republican, 85.54
Cherokee, Donald J Trump, Republican, 74.12
Cheyenne, Donald J Trump, Republican, 82.79
Clark, Donald J Trump, Republican, 84.72
Clay, Donald J Trump, Republican, 75.97
Cloud, Donald J Trump, Republican, 76.05
Coffey, Donald J Trump, Republican, 76.43
Comanche, Donald J Trump, Republican, 83.19
Cowley, Donald J Trump, Republican, 67.85
Crawford, Donald J Trump, Republican, 60.35
Decatur, Donald J Trump, Republican, 84.11
Dickinson, Donald J Trump, Republican, 76.22
Doniphan, Donald J Trump, Republican, 80.24
Douglas, Joseph R Biden Jr, Democrat, 68.55
Edwards, Donald J Trump, Republican, 79.73
Elk, Donald J Trump, Republican, 83.76
Ellis, Donald J Trump, Republican, 70.71
Ellsworth, Donald J Trump, Republican, 75.29
Finney, Donald J Trump, Republican, 61.32
Ford, Donald J Trump, Republican, 65.09
Franklin, Donald J Trump, Republican, 67.96
Geary, Donald J Trump, Republican, 55.43
Gove, Donald J Trump, Republican, 87.76
Graham, Donald J Trump, Republican, 80.78
Grant, Donald J Trump, Republican, 77.41
Gray, Donald J Trump, Republican, 83.52
Greeley, Donald J Trump, Republican, 85.65
Greenwood, Donald J Trump, Republican, 79.43
Hamilton, Donald J Trump, Republican, 81.26
Harper, Donald J Trump, Republican, 80.96
Harvey, Donald J Trump, Republican, 58.82
Haskell, Donald J Trump, Republican, 79.57
Hodgeman, Donald J Trump, Republican, 83.73
Jackson, Donald J Trump, Republican, 68.61
Jefferson, Donald J Trump, Republican, 64.75
Jewell, Donald J Trump, Republican, 85.2
Johnson, Joseph R Biden Jr, Democrat, 53.07
Kearny, Donald J Trump, Republican, 80
Kingman, Donald J Trump, Republican, 79.26
Kiowa, Donald J Trump, Republican, 84.12
Labette, Donald J Trump, Republican, 66.97
Lane, Donald J Trump, Republican, 85.14
Leavenworth, Donald J Trump, Republican, 59.22
Lincoln, Donald J Trump, Republican, 81.25
Linn, Donald J Trump, Republican, 80.22
Logan, Donald J Trump, Republican, 85.67
Lyon, Donald J Trump, Republican, 53.97
Mcpherson, Donald J Trump, Republican, 69.01
Marion, Donald J Trump, Republican, 73.06
Marshall, Donald J Trump, Republican, 72.92
Meade, Donald J Trump, Republican, 83.45
Miami, Donald J Trump, Republican, 68.62
Mitchell, Donald J Trump, Republican, 80.75
Montgomery, Donald J Trump, Republican, 73.97
Morris, Donald J Trump, Republican, 73.27
Morton, Donald J Trump, Republican, 86.31
Nemaha, Donald J Trump, Republican, 82.05
Neosho, Donald J Trump, Republican, 72.27
Ness, Donald J Trump, Republican, 88.5
Norton, Donald J Trump, Republican, 83.11
Osage, Donald J Trump, Republican, 71
Osborne, Donald J Trump, Republican, 83.75
Ottawa, Donald J Trump, Republican, 81.79
Pawnee, Donald J Trump, Republican, 74.66
Phillips, Donald J Trump, Republican, 86.95
Pottawatomie, Donald J Trump, Republican, 72.25
Pratt, Donald J Trump, Republican, 75.13
Rawlins, Donald J Trump, Republican, 83.84
Reno, Donald J Trump, Republican, 66.01
Republic, Donald J Trump, Republican, 82.12
Rice, Donald J Trump, Republican, 75.53
Riley, Joseph R Biden Jr, Democrat, 50.71
Rooks, Donald J Trump, Republican, 86.14
Rush, Donald J Trump, Republican, 80.5
Russell, Donald J Trump, Republican, 80.47
Saline, Donald J Trump, Republican, 64.09
Scott, Donald J Trump, Republican, 85.56
Sedgwick, Donald J Trump, Republican, 54.73
Seward, Donald J Trump, Republican, 63.69
Shawnee, Joseph R Biden Jr, Democrat, 50.22
Sheridan, Donald J Trump, Republican, 88.72
Sherman, Donald J Trump, Republican, 83.2
Smith, Donald J Trump, Republican, 82.81
Stafford, Donald J Trump, Republican, 80.88
Stanton, Donald J Trump, Republican, 79.12
Stevens, Donald J Trump, Republican, 86.66
Sumner, Donald J Trump, Republican, 74.17
Thomas, Donald J Trump, Republican, 82.15
Trego, Donald J Trump, Republican, 83.62
Wabaunsee, Donald J Trump, Republican, 72.91
Wallace, Donald J Trump, Republican, 93.33
Washington, Donald J Trump, Republican, 81.96
Wichita, Donald J Trump, Republican, 83.47
Wilson, Donald J Trump, Republican, 79.74
Woodson, Donald J Trump, Republican, 79.43
Wyandotte, Joseph R Biden Jr, Democrat, 64.78
