Ballard, Donald J Trump, Republican, 79.43
Barren, Donald J Trump, Republican, 73.07
Bath, Donald J Trump, Republican, 70.84
Bell, Donald J Trump, Republican, 53.3
Boyd, Donald J Trump, Republican, 65.75
Boyle, Donald J Trump, Republican, 61.33
Bracken, Donald J Trump, Republican, 80.07
Breathitt, Donald J Trump, Republican, 75.34
Breckinridge, Donald J Trump, Republican, 75.52
Bullitt, Donald J Trump, Republican, 73.18
Caldwell, Donald J Trump, Republican, 56.64
Calloway, Donald J Trump, Republican, 65.07
Campbell, Donald J Trump, Republican, 58.33
Carlisle, Donald J Trump, Republican, 81.84
Carter, Donald J Trump, Republican, 79.96
Casey, Donald J Trump, Republican, 86.17
Edmonson, Donald J Trump, Republican, 78.75
Elliott, Donald J Trump, Republican, 74.99
Estill, Donald J Trump, Republican, 78.01
Fleming, Donald J Trump, Republican, 78.32
Garrard, Donald J Trump, Republican, 77.61
Graves, Donald J Trump, Republican, 77.6
Grayson, Donald J Trump, Republican, 74.26
Green, Joseph R Biden Jr, Democrat, 50.69
Greenup, Donald J Trump, Republican, 71.88
Harlan, Donald J Trump, Republican, 85.38
Hickman, Donald J Trump, Republican, 77.06
Hopkins, Donald J Trump, Republican, 73.26
Jessamine, Donald J Trump, Republican, 65.13
Kenton, Donald J Trump, Republican, 58.61
Knott, Donald J Trump, Republican, 76.45
Larue, Donald J Trump, Republican, 77.87
Laurel, Donald J Trump, Republican, 82.69
Leslie, Donald J Trump, Republican, 89.82
Letcher, Donald J Trump, Republican, 79.1
Mccracken, Donald J Trump, Republican, 65.09
Mccreary, Donald J Trump, Republican, 88.02
Magoffin, Donald J Trump, Republican, 76.64
Menifee, Donald J Trump, Republican, 74.5
Metcalfe, Donald J Trump, Republican, 78.99
Muhlenberg, Donald J Trump, Republican, 73.76
Nelson, Donald J Trump, Republican, 67.55
Nicholas, Donald J Trump, Republican, 77.88
Oldham, Donald J Trump, Republican, 59.71
Owsley, Donald J Trump, Republican, 88.13
Pendleton, Donald J Trump, Republican, 79.64
Powell, Donald J Trump, Republican, 73.41
Robertson, Donald J Trump, Republican, 72.77
Rockcastle, Donald J Trump, Republican, 84.5
Rowan, Donald J Trump, Republican, 45.36
Simpson, Donald J Trump, Republican, 64.62
Todd, Donald J Trump, Republican, 73.57
Trigg, Donald J Trump, Republican, 74.4
Trimble, Donald J Trump, Republican, 74.72
Wolfe, Donald J Trump, Republican, 70.39
