Antelope, Donald J Trump, Republican, 86.32
Arthur, Donald J Trump, Republican, 91.55
Banner, Donald J Trump, Republican, 88.29
Box Butte, Donald J Trump, Republican, 77.24
Buffalo, Donald J Trump, Republican, 70.54
Burt, Donald J Trump, Republican, 69.15
Cherry, Donald J Trump, Republican, 87.11
Cuming, Donald J Trump, Republican, 78.79
Dawes, Donald J Trump, Republican, 71.12
Deuel, Donald J Trump, Republican, 72.3
Dixon, Donald J Trump, Republican, 75.74
Dundy, Donald J Trump, Republican, 88.39
Frontier, Donald J Trump, Republican, 85.35
Furnas, Donald J Trump, Republican, 83.16
Gage, Donald J Trump, Republican, 67.27
Garden, Donald J Trump, Republican, 85.02
Gosper, Donald J Trump, Republican, 79.87
Hayes, Donald J Trump, Republican, 92.51
Hitchcock, Donald J Trump, Republican, 86.04
Hooker, Donald J Trump, Republican, 85.07
Kearney, Donald J Trump, Republican, 78.3
Keith, Donald J Trump, Republican, 81.21
Keya Paha, Donald J Trump, Republican, 89.98
Kimball, Donald J Trump, Republican, 83.4
Loup, Donald J Trump, Republican, 81.5
Merrick, Donald J Trump, Republican, 80.31
Morrill, Donald J Trump, Republican, 82.64
Nance, Donald J Trump, Republican, 78.61
Nuckolls, Donald J Trump, Republican, 80.63
Otoe, Donald J Trump, Republican, 67.94
Perkins, Donald J Trump, Republican, 83.94
Red Willow, Donald J Trump, Republican, 83
Richardson, Donald J Trump, Republican, 74.48
Sarpy, Donald J Trump, Republican, 54.33
Saunders, Donald J Trump, Republican, 71.52
Scotts Bluff, Donald J Trump, Republican, 70.8
Thayer, Donald J Trump, Republican, 77.45
Thurston, Joseph R Biden Jr, Democrat, 57.46
