Bernalillo, Joseph R Biden Jr, Democrat, 61.01
Catron, Joseph R Biden Jr, Democrat, 25.58
Chaves, Joseph R Biden Jr, Democrat, 28.43
Cibola, Joseph R Biden Jr, Democrat, 53.3
Colfax, Joseph R Biden Jr, Democrat, 43.4
Curry, Joseph R Biden Jr, Democrat, 28.52
De Baca, Joseph R Biden Jr, Democrat, 25.64
Dona Ana, Joseph R Biden Jr, Democrat, 58.03
Eddy, Joseph R Biden Jr, Democrat, 23.36
Grant, Joseph R Biden Jr, Democrat, 52.58
Guadalupe, Joseph R Biden Jr, Democrat, 56.37
Harding, Joseph R Biden Jr, Democrat, 35.45
Hidalgo, Joseph R Biden Jr, Democrat, 41.69
Lea, Joseph R Biden Jr, Democrat, 19.41
Lincoln, Joseph R Biden Jr, Democrat, 30.99
Los Alamos, Joseph R Biden Jr, Democrat, 61.45
Luna, Joseph R Biden Jr, Democrat, 43.97
Mckinley, Joseph R Biden Jr, Democrat, 68.07
Mora, Joseph R Biden Jr, Democrat, 64.97
Otero, Joseph R Biden Jr, Democrat, 36
Quay, Joseph R Biden Jr, Democrat, 30.21
Rio Arriba, Joseph R Biden Jr, Democrat, 66.09
Roosevelt, Joseph R Biden Jr, Democrat, 27.27
Sandoval, Joseph R Biden Jr, Democrat, 53.01
San Juan, Joseph R Biden Jr, Democrat, 34.58
San Miguel, Joseph R Biden Jr, Democrat, 68.41
Santa Fe, Joseph R Biden Jr, Democrat, 76.05
Sierra, Joseph R Biden Jr, Democrat, 38.1
Socorro, Joseph R Biden Jr, Democrat, 51.98
Taos, Joseph R Biden Jr, Democrat, 76.37
Torrance, Joseph R Biden Jr, Democrat, 32.19
Union, Joseph R Biden Jr, Democrat, 21.41
Valencia, Joseph R Biden Jr, Democrat, 44.19
