Bledsoe, Donald J Trump, Republican, 82.06
Cannon, Donald J Trump, Republican, 79.15
Cheatham, Donald J Trump, Republican, 71.26
Cocke, Donald J Trump, Republican, 81.85
Dickson, Donald J Trump, Republican, 72.54
Dyer, Donald J Trump, Republican, 78.04
Fentress, Donald J Trump, Republican, 85.24
Giles, Donald J Trump, Republican, 74.1
Grainger, Donald J Trump, Republican, 84.52
Hamblen, Donald J Trump, Republican, 76.37
Hawkins, Donald J Trump, Republican, 82.2
Loudon, Donald J Trump, Republican, 73.99
Mcminn, Donald J Trump, Republican, 79.66
Mcnairy, Donald J Trump, Republican, 80.65
Maury, Donald J Trump, Republican, 67.44
Obion, Donald J Trump, Republican, 79.8
Overton, Donald J Trump, Republican, 78.89
Pickett, Donald J Trump, Republican, 81.24
Rhea, Donald J Trump, Republican, 81.03
Sequatchie, Donald J Trump, Republican, 80.74
Trousdale, Donald J Trump, Republican, 73.44
Unicoi, Donald J Trump, Republican, 79.44
Weakley, Donald J Trump, Republican, 75.69
