Anderson, Joseph R Biden Jr, Democrat, 20.57
Andrews, Joseph R Biden Jr, Democrat, 14.5
Angelina, Joseph R Biden Jr, Democrat, 26.44
Aransas, Joseph R Biden Jr, Democrat, 23.73
Archer, Joseph R Biden Jr, Democrat, 9.3
Armstrong, Joseph R Biden Jr, Democrat, 6.74
Atascosa, Joseph R Biden Jr, Democrat, 32.43
Austin, Joseph R Biden Jr, Democrat, 20.28
Bailey, Joseph R Biden Jr, Democrat, 21.99
Bandera, Joseph R Biden Jr, Democrat, 19.7
Bastrop, Joseph R Biden Jr, Democrat, 42.2
Baylor, Joseph R Biden Jr, Democrat, 10.75
Bee, Joseph R Biden Jr, Democrat, 34.9
Bell, Joseph R Biden Jr, Democrat, 44.76
Bexar, Joseph R Biden Jr, Democrat, 58.18
Blanco, Joseph R Biden Jr, Democrat, 25.68
Borden, Joseph R Biden Jr, Democrat, 3.85
Bosque, Joseph R Biden Jr, Democrat, 17.1
Bowie, Joseph R Biden Jr, Democrat, 28.09
Brazoria, Joseph R Biden Jr, Democrat, 40.15
Brazos, Joseph R Biden Jr, Democrat, 41.56
Brewster, Joseph R Biden Jr, Democrat, 46.83
Briscoe, Joseph R Biden Jr, Democrat, 10.76
Brooks, Joseph R Biden Jr, Democrat, 59.18
Brown, Joseph R Biden Jr, Democrat, 13.19
Burleson, Joseph R Biden Jr, Democrat, 20.77
Burnet, Joseph R Biden Jr, Democrat, 22.81
Caldwell, Joseph R Biden Jr, Democrat, 44.56
Calhoun, Joseph R Biden Jr, Democrat, 27.34
Callahan, Joseph R Biden Jr, Democrat, 10.74
Cameron, Joseph R Biden Jr, Democrat, 56.11
Camp, Joseph R Biden Jr, Democrat, 27.55
Carson, Joseph R Biden Jr, Democrat, 9.51
Cass, Joseph R Biden Jr, Democrat, 20.07
Castro, Joseph R Biden Jr, Democrat, 22.37
Chambers, Joseph R Biden Jr, Democrat, 18.46
Cherokee, Joseph R Biden Jr, Democrat, 21.58
Childress, Joseph R Biden Jr, Democrat, 13.6
Clay, Joseph R Biden Jr, Democrat, 10.69
Cochran, Joseph R Biden Jr, Democrat, 17.7
Coke, Joseph R Biden Jr, Democrat, 10.01
Coleman, Joseph R Biden Jr, Democrat, 10.94
Collin, Joseph R Biden Jr, Democrat, 47.05
Collingsworth, Joseph R Biden Jr, Democrat, 12.73
Colorado, Joseph R Biden Jr, Democrat, 24.26
Comal, Joseph R Biden Jr, Democrat, 27.93
Comanche, Joseph R Biden Jr, Democrat, 14.02
Concho, Joseph R Biden Jr, Democrat, 15.54
Cooke, Joseph R Biden Jr, Democrat, 16.9
Coryell, Joseph R Biden Jr, Democrat, 32.2
Cottle, Joseph R Biden Jr, Democrat, 17.07
Crane, Joseph R Biden Jr, Democrat, 16.03
Crockett, Joseph R Biden Jr, Democrat, 21.86
Crosby, Joseph R Biden Jr, Democrat, 26.98
Culberson, Joseph R Biden Jr, Democrat, 50.69
Dallam, Joseph R Biden Jr, Democrat, 12.24
Dallas, Joseph R Biden Jr, Democrat, 65.1
Dawson, Joseph R Biden Jr, Democrat, 21.32
Deaf Smith, Joseph R Biden Jr, Democrat, 27.42
Delta, Joseph R Biden Jr, Democrat, 15.55
Denton, Joseph R Biden Jr, Democrat, 45.15
Dewitt, Joseph R Biden Jr, Democrat, 18.4
Dickens, Joseph R Biden Jr, Democrat, 13.16
Dimmit, Joseph R Biden Jr, Democrat, 61.76
Donley, Joseph R Biden Jr, Democrat, 12.01
Duval, Joseph R Biden Jr, Democrat, 50.96
Eastland, Joseph R Biden Jr, Democrat, 11.85
Ector, Joseph R Biden Jr, Democrat, 25.49
Edwards, Joseph R Biden Jr, Democrat, 15.76
Ellis, Joseph R Biden Jr, Democrat, 32.24
El Paso, Joseph R Biden Jr, Democrat, 66.78
Erath, Joseph R Biden Jr, Democrat, 17.3
Falls, Joseph R Biden Jr, Democrat, 30.96
Fannin, Joseph R Biden Jr, Democrat, 17.69
Fayette, Joseph R Biden Jr, Democrat, 20.56
Fisher, Joseph R Biden Jr, Democrat, 19.28
Floyd, Joseph R Biden Jr, Democrat, 21.48
Foard, Joseph R Biden Jr, Democrat, 17.97
Fort Bend, Joseph R Biden Jr, Democrat, 54.7
Franklin, Joseph R Biden Jr, Democrat, 16.05
Freestone, Joseph R Biden Jr, Democrat, 18.77
Frio, Joseph R Biden Jr, Democrat, 45.88
Gaines, Joseph R Biden Jr, Democrat, 9.61
Galveston, Joseph R Biden Jr, Democrat, 37.95
Garza, Joseph R Biden Jr, Democrat, 13.97
Gillespie, Joseph R Biden Jr, Democrat, 20.04
Glasscock, Joseph R Biden Jr, Democrat, 5.97
Goliad, Joseph R Biden Jr, Democrat, 21.95
Gonzales, Joseph R Biden Jr, Democrat, 25.47
Gray, Joseph R Biden Jr, Democrat, 10.65
Grayson, Joseph R Biden Jr, Democrat, 24.39
Gregg, Joseph R Biden Jr, Democrat, 30.84
Grimes, Joseph R Biden Jr, Democrat, 22.82
Guadalupe, Joseph R Biden Jr, Democrat, 37.11
Hale, Joseph R Biden Jr, Democrat, 23.77
Hall, Joseph R Biden Jr, Democrat, 14.37
Hamilton, Joseph R Biden Jr, Democrat, 14.73
Hansford, Joseph R Biden Jr, Democrat, 8.11
Hardeman, Joseph R Biden Jr, Democrat, 15.25
Hardin, Joseph R Biden Jr, Democrat, 12.57
Harris, Joseph R Biden Jr, Democrat, 55.96
Harrison, Joseph R Biden Jr, Democrat, 26.61
Hartley, Joseph R Biden Jr, Democrat, 9.38
Haskell, Joseph R Biden Jr, Democrat, 15.94
Hays, Joseph R Biden Jr, Democrat, 54.41
Hemphill, Joseph R Biden Jr, Democrat, 11.98
Henderson, Joseph R Biden Jr, Democrat, 19.44
Hidalgo, Joseph R Biden Jr, Democrat, 58.04
Hill, Joseph R Biden Jr, Democrat, 19.15
Hockley, Joseph R Biden Jr, Democrat, 18.3
Hood, Joseph R Biden Jr, Democrat, 17.36
Hopkins, Joseph R Biden Jr, Democrat, 19.11
Houston, Joseph R Biden Jr, Democrat, 24.52
Howard, Joseph R Biden Jr, Democrat, 20.2
Hudspeth, Joseph R Biden Jr, Democrat, 31.85
Hunt, Joseph R Biden Jr, Democrat, 23.07
Hutchinson, Joseph R Biden Jr, Democrat, 11
Irion, Joseph R Biden Jr, Democrat, 13.5
Jack, Joseph R Biden Jr, Democrat, 8.75
Jackson, Joseph R Biden Jr, Democrat, 16.26
Jasper, Joseph R Biden Jr, Democrat, 18.92
Jeff Davis, Joseph R Biden Jr, Democrat, 38.39
Jefferson, Joseph R Biden Jr, Democrat, 48.62
Jim Hogg, Joseph R Biden Jr, Democrat, 58.79
Jim Wells, Joseph R Biden Jr, Democrat, 44.77
Johnson, Joseph R Biden Jr, Democrat, 22.86
Jones, Joseph R Biden Jr, Democrat, 14.82
Karnes, Joseph R Biden Jr, Democrat, 23.5
Kaufman, Joseph R Biden Jr, Democrat, 32.45
Kendall, Joseph R Biden Jr, Democrat, 22.76
Kenedy, Joseph R Biden Jr, Democrat, 33.51
Kent, Joseph R Biden Jr, Democrat, 10.17
Kerr, Joseph R Biden Jr, Democrat, 23.51
Kimble, Joseph R Biden Jr, Democrat, 12.39
King, Joseph R Biden Jr, Democrat, 5.03
Kinney, Joseph R Biden Jr, Democrat, 27.82
Kleberg, Joseph R Biden Jr, Democrat, 48.56
Knox, Joseph R Biden Jr, Democrat, 18.2
Lamar, Joseph R Biden Jr, Democrat, 20.79
Lamb, Joseph R Biden Jr, Democrat, 19.05
Lampasas, Joseph R Biden Jr, Democrat, 20.62
La Salle, Joseph R Biden Jr, Democrat, 43.72
Lavaca, Joseph R Biden Jr, Democrat, 13.07
Lee, Joseph R Biden Jr, Democrat, 21.64
Leon, Joseph R Biden Jr, Democrat, 12.36
Liberty, Joseph R Biden Jr, Democrat, 19.72
Limestone, Joseph R Biden Jr, Democrat, 24.33
Lipscomb, Joseph R Biden Jr, Democrat, 9.68
Live Oak, Joseph R Biden Jr, Democrat, 16.2
Llano, Joseph R Biden Jr, Democrat, 19.47
Loving, Joseph R Biden Jr, Democrat, 6.06
Lubbock, Joseph R Biden Jr, Democrat, 33.12
Lynn, Joseph R Biden Jr, Democrat, 18.67
Mcculloch, Joseph R Biden Jr, Democrat, 14.26
Mclennan, Joseph R Biden Jr, Democrat, 37.49
Mcmullen, Joseph R Biden Jr, Democrat, 10.27
Madison, Joseph R Biden Jr, Democrat, 20.54
Marion, Joseph R Biden Jr, Democrat, 27.53
Martin, Joseph R Biden Jr, Democrat, 13.33
Mason, Joseph R Biden Jr, Democrat, 18.47
Matagorda, Joseph R Biden Jr, Democrat, 27.19
Maverick, Joseph R Biden Jr, Democrat, 54.29
Medina, Joseph R Biden Jr, Democrat, 29.89
Menard, Joseph R Biden Jr, Democrat, 19.16
Midland, Joseph R Biden Jr, Democrat, 20.95
Milam, Joseph R Biden Jr, Democrat, 23.6
