Barron, Donald J Trump, Republican, 62.35
Bayfield, Joseph R Biden Jr, Democrat, 56.5
Burnett, Donald J Trump, Republican, 63.72
Calumet, Donald J Trump, Republican, 59
Dane, Joseph R Biden Jr, Democrat, 75.46
Door, Joseph R Biden Jr, Democrat, 49.93
Eau Claire, Joseph R Biden Jr, Democrat, 54.26
Fond Du Lac, Donald J Trump, Republican, 62.45
Green Lake, Donald J Trump, Republican, 67.17
Juneau, Donald J Trump, Republican, 63.82
Kenosha, Donald J Trump, Republican, 50.68
Kewaunee, Donald J Trump, Republican, 65.54
La Crosse, Joseph R Biden Jr, Democrat, 55.75
Langlade, Donald J Trump, Republican, 65.65
Manitowoc, Donald J Trump, Republican, 60.72
Marathon, Donald J Trump, Republican, 58.14
Marinette, Donald J Trump, Republican, 66.6
Milwaukee, Joseph R Biden Jr, Democrat, 69.13
Oconto, Donald J Trump, Republican, 69.89
Outagamie, Donald J Trump, Republican, 54.05
Ozaukee, Donald J Trump, Republican, 55.15
Pepin, Donald J Trump, Republican, 62.36
Price, Donald J Trump, Republican, 63.12
Racine, Donald J Trump, Republican, 51.18
St. Croix, Donald J Trump, Republican, 56.78
Sauk, Joseph R Biden Jr, Democrat, 50.02
Sawyer, Donald J Trump, Republican, 56.22
Shawano, Donald J Trump, Republican, 67.09
Sheboygan, Donald J Trump, Republican, 56.97
Trempealeau, Donald J Trump, Republican, 57.43
Vilas, Donald J Trump, Republican, 60.26
Washburn, Donald J Trump, Republican, 61.03
Waukesha, Donald J Trump, Republican, 59.57
Waupaca, Donald J Trump, Republican, 65.06
Waushara, Donald J Trump, Republican, 66.45
