#, Warren G Harding, Republican, 0
Anderson, Warren G Harding, Republican, 3127
Bedford, James M Cox, Democrat, 2182
Benton, James M Cox, Democrat, 1914
Bledsoe, Warren G Harding, Republican, 1198
Blount, Warren G Harding, Republican, 5540
Bradley, Warren G Harding, Republican, 2255
Campbell, Warren G Harding, Republican, 3368
Cannon, James M Cox, Democrat, 770
Carroll, Warren G Harding, Republican, 4141
Carter, Warren G Harding, Republican, 6059
Cheatham, James M Cox, Democrat, 1219
Chester, James M Cox, Democrat, 1105
Claiborne, Warren G Harding, Republican, 2612
Clay, Warren G Harding, Republican, 1044
Cocke, Warren G Harding, Republican, 3283
Coffee, James M Cox, Democrat, 2043
Crockett, Warren G Harding, Republican, 2326
Cumberland, Warren G Harding, Republican, 1485
Davidson, James M Cox, Democrat, 13354
Decatur, Warren G Harding, Republican, 1608
DeKalb, Warren G Harding, Republican, 2572
Dickson, James M Cox, Democrat, 2145
Dyer, James M Cox, Democrat, 3181
Fayette, James M Cox, Democrat, 2294
Fentress, Warren G Harding, Republican, 1808
Franklin, James M Cox, Democrat, 3504
Gibson, James M Cox, Democrat, 5942
Giles, James M Cox, Democrat, 3129
Grainger, Warren G Harding, Republican, 2158
Greene, Warren G Harding, Republican, 5677
Grundy, James M Cox, Democrat, 745
Hamblen, Warren G Harding, Republican, 1571
Hamilton, Warren G Harding, Republican, 10793
Hancock, Warren G Harding, Republican, 1740
Hardeman, James M Cox, Democrat, 2212
Hardin, Warren G Harding, Republican, 3077
Hawkins, Warren G Harding, Republican, 2650
Haywood, James M Cox, Democrat, 2068
Henderson, Warren G Harding, Republican, 3112
Henry, James M Cox, Democrat, 4613
Hickman, Warren G Harding, Republican, 1470
Houston, James M Cox, Democrat, 790
Humphreys, James M Cox, Democrat, 1534
Jackson, Warren G Harding, Republican, 1187
Jefferson, Warren G Harding, Republican, 3583
Johnson, Warren G Harding, Republican, 3627
Knox, Warren G Harding, Republican, 12005
Lake, James M Cox, Democrat, 1192
Lauderdale, James M Cox, Democrat, 2313
Lawrence, Warren G Harding, Republican, 3843
Lewis, Warren G Harding, Republican, 446
Lincoln, James M Cox, Democrat, 2463
Loudon, Warren G Harding, Republican, 1872
Macon, Warren G Harding, Republican, 3208
Madison, James M Cox, Democrat, 5280
Marion, Warren G Harding, Republican, 2662
Marshall, James M Cox, Democrat, 1828
Maury, James M Cox, Democrat, 2693
McMinn, Warren G Harding, Republican, 2800
McNairy, Warren G Harding, Republican, 3212
Meigs, Warren G Harding, Republican, 915
Monroe, Warren G Harding, Republican, 2575
Montgomery, James M Cox, Democrat, 2564
Moore, James M Cox, Democrat, 497
Morgan, Warren G Harding, Republican, 2248
Obion, James M Cox, Democrat, 4547
Overton, Warren G Harding, Republican, 1939
Perry, Warren G Harding, Republican, 747
Pickett, Warren G Harding, Republican, 896
Polk, Warren G Harding, Republican, 1018
Putnam, James M Cox, Democrat, 2996
Rhea, Warren G Harding, Republican, 1341
Roane, Warren G Harding, Republican, 1974
Robertson, James M Cox, Democrat, 3046
Rutherford, James M Cox, Democrat, 3406
Scott, Warren G Harding, Republican, 2537
Sequatchie, James M Cox, Democrat, 545
Sevier, Warren G Harding, Republican, 6006
Shelby, James M Cox, Democrat, 15986
Smith, James M Cox, Democrat, 3150
Stewart, James M Cox, Democrat, 2366
Sullivan, James M Cox, Democrat, 4327
Sumner, James M Cox, Democrat, 3674
Tipton, James M Cox, Democrat, 2816
Trousdale, James M Cox, Democrat, 955
Unicoi, Warren G Harding, Republican, 2584
Union, Warren G Harding, Republican, 2607
Van Buren, James M Cox, Democrat, 351
Warren, James M Cox, Democrat, 1986
Washington, Warren G Harding, Republican, 4858
Wayne, Warren G Harding, Republican, 2617
Weakley, James M Cox, Democrat, 4395
White, James M Cox, Democrat, 2201
Williamson, James M Cox, Democrat, 2004
Wilson, James M Cox, Democrat, 2160
