#, James M Cox, Democrat, 0
Anderson, James M Cox, Democrat, 2355
Andrews, James M Cox, Democrat, 74
Angelina, James M Cox, Democrat, 1661
Aransas, James M Cox, Democrat, 146
Archer, James M Cox, Democrat, 449
Armstrong, James M Cox, Democrat, 405
Atascosa, James M Cox, Democrat, 531
Austin, Eugene V Debs, Progressive, 1682
Bandera, James M Cox, Democrat, 311
Bastrop, James M Cox, Democrat, 1088
Baylor, James M Cox, Democrat, 632
Bee, James M Cox, Democrat, 545
Bell, James M Cox, Democrat, 3595
Bexar, Warren G Harding, Republican, 8894
Blanco, Eugene V Debs, Progressive, 886
Borden, James M Cox, Democrat, 89
Bosque, James M Cox, Democrat, 1556
Bowie, James M Cox, Democrat, 2396
Brazoria, Warren G Harding, Republican, 1235
Brazos, James M Cox, Democrat, 1281
Brewster, James M Cox, Democrat, 210
Briscoe, James M Cox, Democrat, 262
Brooks, James M Cox, Democrat, 127
Brown, James M Cox, Democrat, 1708
Burleson, James M Cox, Democrat, 981
Burnet, James M Cox, Democrat, 795
Caldwell, James M Cox, Democrat, 1240
Calhoun, James M Cox, Democrat, 363
Callahan, James M Cox, Democrat, 804
Cameron, James M Cox, Democrat, 920
Camp, James M Cox, Democrat, 661
Carson, James M Cox, Democrat, 428
Cass, James M Cox, Democrat, 1563
Castro, James M Cox, Democrat, 158
Chambers, Warren G Harding, Republican, 278
Cherokee, James M Cox, Democrat, 2233
Childress, James M Cox, Democrat, 1206
Clay, James M Cox, Democrat, 1324
Coke, James M Cox, Democrat, 444
Coleman, James M Cox, Democrat, 1445
Collin, James M Cox, Democrat, 4045
Collingsworth, James M Cox, Democrat, 640
Colorado, Eugene V Debs, Progressive, 822
Comal, Eugene V Debs, Progressive, 841
Comanche, James M Cox, Democrat, 1633
Concho, James M Cox, Democrat, 405
Cooke, James M Cox, Democrat, 2170
Coryell, James M Cox, Democrat, 1542
Cottle, James M Cox, Democrat, 472
Crockett, James M Cox, Democrat, 89
Crosby, James M Cox, Democrat, 572
Culberson, James M Cox, Democrat, 40
Dallam, James M Cox, Democrat, 478
Dallas, James M Cox, Democrat, 14390
Dawson, James M Cox, Democrat, 296
Deaf Smith, James M Cox, Democrat, 459
Delta, James M Cox, Democrat, 1081
Denton, James M Cox, Democrat, 1257
Dewitt, Warren G Harding, Republican, 1277
Dickens, James M Cox, Democrat, 433
Dimmit, James M Cox, Democrat, 231
Donley, James M Cox, Democrat, 766
Duval, James M Cox, Democrat, 1081
Eastland, James M Cox, Democrat, 2942
Ector, James M Cox, Democrat, 100
