0, Calvin Coolidge, Republican, 0
Valencia, Calvin Coolidge, Republican, 3183
Socorro, Calvin Coolidge, Republican, 2332
Doña Ana, Calvin Coolidge, Republican, 2823
Santa Fe, Calvin Coolidge, Republican, 4010
Taos, Calvin Coolidge, Republican, 2470
Sandoval, Calvin Coolidge, Republican, 1587
McKinley, Calvin Coolidge, Republican, 1653
Rio Arriba, Calvin Coolidge, Republican, 3707
Torrance, Calvin Coolidge, Republican, 1666
Lincoln, Calvin Coolidge, Republican, 1087
Guadalupe, Calvin Coolidge, Republican, 1329
Catron, Calvin Coolidge, Republican, 499
Bernalillo, Calvin Coolidge, Republican, 7078
Luna, Calvin Coolidge, Republican, 709
Sierra, Calvin Coolidge, Republican, 632
Colfax, Calvin Coolidge, Republican, 3512
San Miguel, Calvin Coolidge, Republican, 3894
San Juan, Calvin Coolidge, Republican, 889
Mora, Calvin Coolidge, Republican, 2197
Harding, Calvin Coolidge, Republican, 721
Otero, John W Davis, Democrat, 886
Grant, John W Davis, Democrat, 2085
Union, John W Davis, Democrat, 1735
Chaves, John W Davis, Democrat, 2168
Quay, John W Davis, Democrat, 1548
Hidalgo, John W Davis, Democrat, 476
De Baca, John W Davis, Democrat, 574
Curry, John W Davis, Democrat, 1738
Eddy, John W Davis, Democrat, 1524
Roosevelt, John W Davis, Democrat, 1340
Lea, John W Davis, Democrat, 552
