#, Calvin Coolidge, Republican, 0
Albany, Calvin Coolidge, Republican, 48253
Allegany, Calvin Coolidge, Republican, 12203
Bronx, Calvin Coolidge, Republican, 79583
Broome, Calvin Coolidge, Republican, 28262
Cattaraugus, Calvin Coolidge, Republican, 17307
Cayuga, Calvin Coolidge, Republican, 17252
Chautauqua, Robert M La Follette, Progressive, NaN
Chemung, Calvin Coolidge, Republican, 18599
Chenango, Calvin Coolidge, Republican, 11323
Clinton, Calvin Coolidge, Republican, 7918
Columbia, Calvin Coolidge, Republican, 10774
Cortland, Calvin Coolidge, Republican, 10032
Delaware, Calvin Coolidge, Republican, 13020
Dutchess, Calvin Coolidge, Republican, 22173
Erie, Calvin Coolidge, Republican, 112070
Essex, Calvin Coolidge, Republican, 8553
Franklin, Calvin Coolidge, Republican, 9352
Fulton, Calvin Coolidge, Republican, 11858
Genesee, Calvin Coolidge, Republican, 11101
Greene, Calvin Coolidge, Republican, 7503
Hamilton, Calvin Coolidge, Republican, 1063
Herkimer, Calvin Coolidge, Republican, 15625
Jefferson, Calvin Coolidge, Republican, 21159
Kings, Calvin Coolidge, Republican, 236877
Lewis, Calvin Coolidge, Republican, 6066
Livingston, Calvin Coolidge, Republican, 10472
Madison, Calvin Coolidge, Republican, 11589
Monroe, Robert M La Follette, Progressive, NaN
Montgomery, Calvin Coolidge, Republican, 12869
Nassau, Calvin Coolidge, Republican, 45825
New York, Calvin Coolidge, Republican, 190871
Niagara, Calvin Coolidge, Republican, 25874
Oneida, Calvin Coolidge, Republican, 37545
Onondaga, Calvin Coolidge, Republican, 65395
Ontario, Calvin Coolidge, Republican, 15013
Orange, Calvin Coolidge, Republican, 29184
Orleans, Calvin Coolidge, Republican, 8543
Oswego, Calvin Coolidge, Republican, 18576
Otsego, Calvin Coolidge, Republican, 13573
Putnam, Calvin Coolidge, Republican, 3796
Queens, Calvin Coolidge, Republican, 100793
Rensselaer, Calvin Coolidge, Republican, 30549
Richmond, Calvin Coolidge, Republican, 18007
Rockland, Calvin Coolidge, Republican, 11915
Saratoga, Calvin Coolidge, Republican, 17682
Schenectady, Calvin Coolidge, Republican, 24514
Schoharie, Calvin Coolidge, Republican, 6142
Schuyler, Calvin Coolidge, Republican, 4301
Seneca, Calvin Coolidge, Republican, 6598
St. Lawrence, Calvin Coolidge, Republican, 22583
Steuben, Calvin Coolidge, Republican, 21481
Suffolk, Calvin Coolidge, Republican, 31456
Sullivan, Calvin Coolidge, Republican, 7734
Tioga, Calvin Coolidge, Republican, 7834
Tompkins, Calvin Coolidge, Republican, 11766
Ulster, Calvin Coolidge, Republican, 20048
Warren, Calvin Coolidge, Republican, 9627
Washington, Calvin Coolidge, Republican, 13774
Wayne, Calvin Coolidge, Republican, 14358
Westchester, Calvin Coolidge, Republican, 85029
Wyoming, Calvin Coolidge, Republican, 10148
Yates, Calvin Coolidge, Republican, 6334
