#, John W Davis, Democrat, 0
Adair, Calvin Coolidge, Republican, 2317
Alfalfa, Calvin Coolidge, Republican, 2967
Atoka, John W Davis, Democrat, 2204
Beaver, Calvin Coolidge, Republican, 1565
Beckham, John W Davis, Democrat, 2496
Blaine, Calvin Coolidge, Republican, 2255
Bryan, John W Davis, Democrat, 4593
Caddo, Calvin Coolidge, Republican, 4388
Canadian, Calvin Coolidge, Republican, 3070
Carter, John W Davis, Democrat, 7134
Cherokee, Calvin Coolidge, Republican, 2622
Choctaw, John W Davis, Democrat, 2528
Cimarron, John W Davis, Democrat, 672
Cleveland, John W Davis, Democrat, 2841
Coal, John W Davis, Democrat, 1772
Comanche, John W Davis, Democrat, 3523
Cotton, John W Davis, Democrat, 1825
Craig, John W Davis, Democrat, 3096
Creek, Calvin Coolidge, Republican, 8894
Custer, John W Davis, Democrat, 2473
Delaware, John W Davis, Democrat, 1729
Dewey, Calvin Coolidge, Republican, 1539
Ellis, Calvin Coolidge, Republican, 1499
Garfield, Calvin Coolidge, Republican, 7524
Garvin, John W Davis, Democrat, 4758
Grady, John W Davis, Democrat, 5091
Grant, Calvin Coolidge, Republican, 2800
Greer, John W Davis, Democrat, 1982
Harmon, John W Davis, Democrat, 1049
Harper, Calvin Coolidge, Republican, 1226
Haskell, John W Davis, Democrat, 2480
Hughes, John W Davis, Democrat, 3996
Jackson, John W Davis, Democrat, 2342
Jefferson, John W Davis, Democrat, 2441
Johnston, John W Davis, Democrat, 2122
Kay, Calvin Coolidge, Republican, 7392
Kingfisher, Calvin Coolidge, Republican, 2834
Kiowa, John W Davis, Democrat, 2635
Latimer, John W Davis, Democrat, 1457
Le Flore, John W Davis, Democrat, 4069
Lincoln, Calvin Coolidge, Republican, 4220
Logan, Calvin Coolidge, Republican, 4445
Love, Robert M La Follette, Progressive, NaN
Major, Calvin Coolidge, Republican, 1781
Marshall, John W Davis, Democrat, 1935
Mayes, Calvin Coolidge, Republican, 2317
McClain, John W Davis, Democrat, 2519
McCurtain, John W Davis, Democrat, 3279
McIntosh, John W Davis, Democrat, 2723
Murray, John W Davis, Democrat, 2083
Muskogee, John W Davis, Democrat, 6895
Noble, Calvin Coolidge, Republican, 2680
Nowata, Calvin Coolidge, Republican, 2296
Okfuskee, John W Davis, Democrat, 2654
Oklahoma, John W Davis, Democrat, 21708
Okmulgee, Calvin Coolidge, Republican, 6015
Osage, John W Davis, Democrat, 7070
Ottawa, Calvin Coolidge, Republican, 5197
Pawnee, Calvin Coolidge, Republican, 3093
Payne, Calvin Coolidge, Republican, 4817
Pittsburg, John W Davis, Democrat, 6062
Pontotoc, John W Davis, Democrat, 4268
Pottawatomie, John W Davis, Democrat, 5072
Pushmataha, John W Davis, Democrat, 1647
Roger Mills, John W Davis, Democrat, 1318
Rogers, John W Davis, Democrat, 2901
Seminole, John W Davis, Democrat, 3007
Sequoyah, John W Davis, Democrat, 3429
Stephens, John W Davis, Democrat, 4745
Texas, John W Davis, Democrat, 1812
Tillman, John W Davis, Democrat, 2653
Tulsa, Calvin Coolidge, Republican, 19537
Wagoner, John W Davis, Democrat, 1985
Washington, Calvin Coolidge, Republican, 4579
Washita, John W Davis, Democrat, 2325
Woods, Calvin Coolidge, Republican, 2615
Woodward, Calvin Coolidge, Republican, 1831
