#, Calvin Coolidge, Republican, 0
Adams, Calvin Coolidge, Republican, 5778
Allegheny, Robert M La Follette, Progressive, NaN
Armstrong, Calvin Coolidge, Republican, 11192
Beaver, Robert M La Follette, Progressive, NaN
Bedford, Calvin Coolidge, Republican, 6154
Berks, Calvin Coolidge, Republican, 28186
Blair, Robert M La Follette, Progressive, NaN
Bradford, Calvin Coolidge, Republican, 11620
Bucks, Calvin Coolidge, Republican, 17460
Butler, Calvin Coolidge, Republican, 13113
Cambria, Calvin Coolidge, Republican, 24728
Cameron, Calvin Coolidge, Republican, 1366
Carbon, Calvin Coolidge, Republican, 10236
Centre, Calvin Coolidge, Republican, 7723
Chester, Calvin Coolidge, Republican, 22333
Clarion, Calvin Coolidge, Republican, 5913
Clearfield, Calvin Coolidge, Republican, 13745
Clinton, Calvin Coolidge, Republican, 5129
Columbia, John W Davis, Democrat, 7390
Crawford, Robert M La Follette, Progressive, NaN
Cumberland, Calvin Coolidge, Republican, 10196
Dauphin, Calvin Coolidge, Republican, 27838
Delaware, Calvin Coolidge, Republican, 41998
Elk, Calvin Coolidge, Republican, 6626
Erie, Robert M La Follette, Progressive, NaN
Fayette, Calvin Coolidge, Republican, 19064
Forest, Calvin Coolidge, Republican, 1130
Franklin, Calvin Coolidge, Republican, 9791
Fulton, John W Davis, Democrat, 1207
Greene, John W Davis, Democrat, 5874
Huntingdon, Calvin Coolidge, Republican, 6567
Indiana, Robert M La Follette, Progressive, NaN
Jefferson, Calvin Coolidge, Republican, 10673
Juniata, Calvin Coolidge, Republican, 2177
Lackawanna, Calvin Coolidge, Republican, 37708
Lancaster, Calvin Coolidge, Republican, 42787
Lawrence, Robert M La Follette, Progressive, NaN
Lebanon, Calvin Coolidge, Republican, 9494
Lehigh, Calvin Coolidge, Republican, 20826
Luzerne, Calvin Coolidge, Republican, 46475
Lycoming, Calvin Coolidge, Republican, 14039
McKean, Calvin Coolidge, Republican, 9072
Mercer, Calvin Coolidge, Republican, 14639
Mifflin, Calvin Coolidge, Republican, 4780
Monroe, John W Davis, Democrat, 3901
Montgomery, Calvin Coolidge, Republican, 45407
Montour, Calvin Coolidge, Republican, 2499
Northampton, Calvin Coolidge, Republican, 20459
Northumberland, Calvin Coolidge, Republican, 17516
Perry, Calvin Coolidge, Republican, 4185
Philadelphia, Calvin Coolidge, Republican, 347457
Pike, Calvin Coolidge, Republican, 1581
Potter, Calvin Coolidge, Republican, 4087
Schuylkill, Calvin Coolidge, Republican, 34578
Snyder, Calvin Coolidge, Republican, 3055
Somerset, Calvin Coolidge, Republican, 12389
Sullivan, Calvin Coolidge, Republican, 1668
Susquehanna, Calvin Coolidge, Republican, 7266
Tioga, Calvin Coolidge, Republican, 8452
Union, Calvin Coolidge, Republican, 3707
Venango, Calvin Coolidge, Republican, 10841
Warren, Calvin Coolidge, Republican, 8502
Washington, Robert M La Follette, Progressive, NaN
Wayne, Calvin Coolidge, Republican, 5578
Westmoreland, Robert M La Follette, Progressive, NaN
Wyoming, Calvin Coolidge, Republican, 3213
York, Calvin Coolidge, Republican, 23044
