#, John W Davis, Democrat, 0
Anderson, Calvin Coolidge, Republican, 1495
Bedford, John W Davis, Democrat, 1799
Benton, John W Davis, Democrat, 1097
Bledsoe, Calvin Coolidge, Republican, 690
Blount, Calvin Coolidge, Republican, 2754
Bradley, Calvin Coolidge, Republican, 1779
Campbell, Calvin Coolidge, Republican, 2620
Cannon, John W Davis, Democrat, 581
Carroll, Calvin Coolidge, Republican, 2199
Carter, Calvin Coolidge, Republican, 3657
Cheatham, John W Davis, Democrat, 868
Chester, John W Davis, Democrat, 758
Claiborne, Calvin Coolidge, Republican, 1775
Clay, John W Davis, Democrat, 668
Cocke, Calvin Coolidge, Republican, 2556
Coffee, John W Davis, Democrat, 1691
Crockett, John W Davis, Democrat, 1168
Cumberland, Calvin Coolidge, Republican, 885
Davidson, John W Davis, Democrat, 11363
Decatur, John W Davis, Democrat, 877
DeKalb, John W Davis, Democrat, 1829
Dickson, John W Davis, Democrat, 1648
Dyer, John W Davis, Democrat, 2336
Fayette, John W Davis, Democrat, 1181
Fentress, Calvin Coolidge, Republican, 1197
Franklin, John W Davis, Democrat, 2072
Gibson, John W Davis, Democrat, 3235
Giles, John W Davis, Democrat, 2509
Grainger, Calvin Coolidge, Republican, 1464
Greene, Calvin Coolidge, Republican, 3282
Grundy, Robert M La Follette, Progressive, NaN
Hamblen, Calvin Coolidge, Republican, 1342
Hamilton, Calvin Coolidge, Republican, 8421
Hancock, Calvin Coolidge, Republican, 1028
Hardeman, John W Davis, Democrat, 1586
Hardin, Calvin Coolidge, Republican, 1175
Hawkins, Calvin Coolidge, Republican, 2600
Haywood, John W Davis, Democrat, 1872
Henderson, Calvin Coolidge, Republican, 1616
Henry, John W Davis, Democrat, 2478
Hickman, John W Davis, Democrat, 922
Houston, John W Davis, Democrat, 444
Humphreys, John W Davis, Democrat, 1005
Jackson, John W Davis, Democrat, 1074
Jefferson, Calvin Coolidge, Republican, 2699
Johnson, Calvin Coolidge, Republican, 2799
Knox, Calvin Coolidge, Republican, 10709
Lake, John W Davis, Democrat, 817
Lauderdale, John W Davis, Democrat, 1596
Lawrence, Calvin Coolidge, Republican, 2375
Lewis, John W Davis, Democrat, 310
Lincoln, John W Davis, Democrat, 2356
Loudon, Calvin Coolidge, Republican, 1533
Macon, Calvin Coolidge, Republican, 1808
Madison, John W Davis, Democrat, 3422
Marion, Calvin Coolidge, Republican, 1074
Marshall, John W Davis, Democrat, 1696
Maury, John W Davis, Democrat, 3000
McMinn, Calvin Coolidge, Republican, 2654
McNairy, Calvin Coolidge, Republican, 1625
Meigs, Calvin Coolidge, Republican, 657
Monroe, Calvin Coolidge, Republican, 2480
Montgomery, John W Davis, Democrat, 1946
Moore, John W Davis, Democrat, 492
Morgan, Calvin Coolidge, Republican, 1103
Obion, John W Davis, Democrat, 3223
Overton, John W Davis, Democrat, 1532
Perry, John W Davis, Democrat, 494
Pickett, Calvin Coolidge, Republican, 676
Polk, Calvin Coolidge, Republican, 1247
Putnam, John W Davis, Democrat, 2474
Rhea, John W Davis, Democrat, 1169
Roane, Calvin Coolidge, Republican, 1635
Robertson, John W Davis, Democrat, 1645
Rutherford, John W Davis, Democrat, 2137
Scott, Calvin Coolidge, Republican, 1611
Sequatchie, John W Davis, Democrat, 374
Sevier, Calvin Coolidge, Republican, 3517
Shelby, John W Davis, Democrat, 13696
Smith, John W Davis, Democrat, 1701
Stewart, John W Davis, Democrat, 1369
Sullivan, John W Davis, Democrat, 3313
Sumner, John W Davis, Democrat, 2631
Tipton, John W Davis, Democrat, 1917
Trousdale, John W Davis, Democrat, 684
Unicoi, Calvin Coolidge, Republican, 1381
Union, Calvin Coolidge, Republican, 1540
Van Buren, John W Davis, Democrat, 357
Warren, John W Davis, Democrat, 1356
Washington, Calvin Coolidge, Republican, 3243
Wayne, Calvin Coolidge, Republican, 1398
Weakley, John W Davis, Democrat, 3149
White, John W Davis, Democrat, 1162
Williamson, John W Davis, Democrat, 1626
Wilson, John W Davis, Democrat, 2043
