#, John W Davis, Democrat, 0
Anderson, Calvin Coolidge, Republican, 562
Andrews, John W Davis, Democrat, 60
Angelina, John W Davis, Democrat, 3914
Aransas, John W Davis, Democrat, 195
Archer, John W Davis, Democrat, 883
Armstrong, John W Davis, Democrat, 426
Atascosa, John W Davis, Democrat, 869
Austin, Robert M La Follette, Progressive, NaN
Bailey, John W Davis, Democrat, 166
Bandera, Calvin Coolidge, Republican, 442
Bastrop, John W Davis, Democrat, 2711
Baylor, John W Davis, Democrat, 1012
Bee, Calvin Coolidge, Republican, 944
Bell, John W Davis, Democrat, 7273
Bexar, John W Davis, Democrat, 10838
Blanco, John W Davis, Democrat, 586
Borden, Calvin Coolidge, Republican, 98
Bosque, John W Davis, Democrat, 2524
Bowie, John W Davis, Democrat, 3455
Brazoria, John W Davis, Democrat, 1761
Brazos, John W Davis, Democrat, 2128
Brewster, John W Davis, Democrat, 366
Briscoe, John W Davis, Democrat, 397
Brooks, John W Davis, Democrat, 205
Brown, John W Davis, Democrat, 3467
Burleson, John W Davis, Democrat, 2496
Burnet, John W Davis, Democrat, 1725
Caldwell, John W Davis, Democrat, 2194
Calhoun, John W Davis, Democrat, 686
Callahan, John W Davis, Democrat, 1614
Cameron, John W Davis, Democrat, 2225
Camp, John W Davis, Democrat, 1186
Carson, John W Davis, Democrat, 611
Cass, John W Davis, Democrat, 2125
Castro, Robert M La Follette, Progressive, NaN
Chambers, John W Davis, Democrat, 315
Cherokee, John W Davis, Democrat, 4343
Childress, John W Davis, Democrat, 1117
Clay, John W Davis, Democrat, 1402
Cochran, John W Davis, Democrat, 59
Coke, John W Davis, Democrat, 673
Coleman, John W Davis, Democrat, 2763
Collin, John W Davis, Democrat, 7215
Collingsworth, John W Davis, Democrat, 731
Colorado, John W Davis, Democrat, 2105
Comal, Robert M La Follette, Progressive, NaN
Comanche, Calvin Coolidge, Republican, 456
Concho, John W Davis, Democrat, 668
Cooke, John W Davis, Democrat, 3170
Coryell, John W Davis, Democrat, 2890
Cottle, John W Davis, Democrat, 580
Crockett, Calvin Coolidge, Republican, 112
Crosby, John W Davis, Democrat, 1242
Culberson, John W Davis, Democrat, 93
Dallam, Robert M La Follette, Progressive, NaN
Dallas, John W Davis, Democrat, 30207
Dawson, John W Davis, Democrat, 1079
De Witt, John W Davis, Democrat, 2131
Deaf Smith, John W Davis, Democrat, 538
Delta, John W Davis, Democrat, 2186
Denton, John W Davis, Democrat, 4708
