Fairfax City, 387, 47
Prince William, 381, 64
Virginia Beach, 462, 204
Loudoun, 365, 29
Chesterfield, 370, 162
Henrico, 373, 142
Norfolk, 450, 198
Chesapeake, 448, 218
Arlington, 399, 45
Richmond City, 376, 150
Newport News, 433, 182
Alexandria, 400, 51
Stafford, 378, 82
Hampton, 444, 188
Spotsylvania, 365, 100
Albemarle, 308, 116
Hanover, 372, 128
Roanoke, 217, 175
Montgomery, 201, 176
Portsmouth, 444, 203
Roanoke City, 225, 169
Suffolk, 427, 215
Frederick, 326, 17
Rockingham, 291, 67
Lynchburg, 272, 160
Bedford, 255, 168
James City, 417, 167
Augusta, 270, 97
Fauquier, 353, 53
York, 437, 175
Pittsylvania, 259, 204
Franklin City, 409, 214
Campbell, 278, 176
Washington, 112, 212
Harrisonburg, 291, 79
Culpeper, 348, 78
Henry, 239, 211
Charlottesville, 315, 110
Shenandoah, 310, 46
Tazewell, 125, 184
Manassas, 376, 56
Danville, 260, 223
Warren, 333, 41
Prince George, 392, 175
Wise, 66, 189
Gloucester, 431, 157
Isle of Wight, 425, 195
Louisa, 344, 115
Orange, 346, 97
Halifax, 289, 213
Pulaski, 180, 186
Botetourt, 237, 147
Accomack, 483, 138
Amherst, 278, 146
Petersburg, 381, 174
Mecklenburg, 323, 213
Caroline, 383, 114
Smyth, 129, 202
Carroll, 180, 209
Powhatan, 349, 147
Fredericksburg, 376, 91
Wythe, 155, 201
Dinwiddie, 367, 184
Winchester, 334, 23
Russell, 95, 194
Fluvanna, 327, 126
King George, 395, 92
Salem, 220, 169
Staunton, 280, 101
Page, 317, 63
Lee, 43, 210
Goochland, 343, 133
Fairfax, 391, 54
Prince Edward, 317, 174
Rockbridge, 259, 121
Hopewell, 387, 168
New Kent, 405, 152
Waynesboro, 290, 108
Scott, 69, 212
Buchanan, 100, 170
Greene, 316, 91
Westmoreland, 424, 107
Radford, 188, 181
Southampton, 398, 213
Patrick, 205, 217
Manassas Park, 378, 53
Colonial Heights, 381, 170
Buckingham, 313, 146
Bristol, 92, 220
King William, 398, 135
Giles, 179, 168
Brunswick, 354, 209
Appomattox, 296, 162
Floyd, 199, 198
Grayson, 150, 218
Nottoway, 341, 179
Williamsburg, 423, 169
Alleghany, 217, 134
Nelson, 291, 130
Dickenson, 81, 179
Clarke, 344, 28
Falls Church, 394, 45
Madison, 328, 82
Amelia, 344, 162
Martinsville, 231, 214
Lunenburg, 330, 195
Northumberland, 442, 122
Poquoson, 444, 179
Charlotte, 304, 185
Northampton, 473, 166
Greensville, 371, 207
Sussex, 391, 195
Essex, 409, 121
Lancaster, 437, 133
Middlesex, 428, 137
Cumberland, 331, 150
Richmond, 425, 122
Mathews, 445, 156
Franklin, 229, 190
Rappahannock, 337, 61
Lexington, 257, 130
King and Queen, 415, 136
Charles City, 399, 162
Buena Vista, 262, 134
Surry, 412, 180
Galax, 167, 216
Bland, 159, 179
Covington, 224, 131
Emporia, 373, 214
Craig, 213, 153
Bath, 237, 109
Norton, 63, 196
Highland, 250, 87
